relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,miss_distance
581.3,-3759.7,30495.5,-8.1,-14745.8,-1816.8,30731.0
-1882.7,504.1,797.8,35.6,-10732.6,6810.1,2106.0
-114.9,-6671.0,-1435.9,69.7,-678.9,3150.4,6824.0
-476.5,37.7,279.1,39.6,-14698.7,2259.8,553.0
50.2,13009.1,-7090.3,-0.3,-3425.9,-6283.8,14815.0
-23.2,-832.4,-730.3,-224.7,-6655.4,7564.5,1107.0
-888.8,25841.1,-3949.5,-242.5,-334.2,-2132.2,26156.0
57.0,22520.8,8894.7,55.9,-2076.5,5257.3,24213.0
179.9,23.1,-116.1,-12.1,-14496.6,-2706.5,215.0
1347.0,1083.9,-207.2,-8.2,-518.4,-2764.3,1741.0
180.8,-1500.6,2788.2,-15.2,-11548.1,-6202.8,3171.0
-2.7,-15300.9,-49663.6,5.7,-13704.3,4222.4,51967.0
-10.1,-10482.8,-7892.7,31.8,-5398.4,7170.7,13121.0
253.8,-186.0,24.5,-10.3,-276.4,-2025.5,315.0
-538.5,636.9,-4632.7,-2.8,-14911.0,-2043.7,4707.0
124.7,1898.7,-12644.5,60.6,-14682.7,-2205.6,12786.0
359.7,-194.5,2451.9,17.6,-14969.8,-1181.0,2485.0
1501.2,13287.6,13465.8,72.5,-9692.4,9554.6,18977.0
104.6,2735.3,1109.3,9.6,-2133.1,5251.0,2953.0
-291.8,-4204.3,10044.7,35.6,-12844.7,-5375.1,10892.0
-171.8,-1164.5,-6837.0,6.7,-14639.8,2495.4,6937.0
-271.5,33920.6,-31986.1,-25.1,-7205.5,-7641.4,46623.0
1416.5,-4306.0,-22364.9,-10.9,-14496.8,2792.8,22819.0
-963.5,6547.0,35259.6,-39.5,-14712.1,2730.3,35875.0
1833.3,33899.5,4723.8,-882.2,-633.8,4890.0,34276.0
-70.2,131.9,1875.9,7.7,-15154.2,1073.6,1881.0
427.8,432.7,-2151.6,2.1,-14397.2,-2919.3,2235.0
-738.1,-9870.5,8823.1,17.7,-6607.7,-7387.6,13259.0
382.4,10433.6,25464.8,16.5,-12770.3,5231.3,27522.0
-70.1,-1162.6,-2105.7,-26.9,-11573.8,6371.7,2406.0
236.4,-18780.6,-21464.8,22.7,-8482.8,7421.9,28522.0
1093.6,1580.8,5830.4,21.8,-14219.7,3848.9,6139.0
-926.4,-12568.0,-25034.5,-1193.0,-13899.5,7020.7,28027.0
-262.2,21026.8,22033.5,-79.8,-7781.2,7425.6,30457.0
-263.1,-422.1,1958.5,21.6,-14265.9,-3072.7,2020.0
111.2,-2787.0,-6027.2,66.4,-12418.8,5735.2,6641.0
415.2,-863.9,15802.1,-21.5,-15245.4,-834.9,15831.0
-96.0,1011.7,4496.6,-8.6,-14146.2,3174.6,4610.0
163.1,-956.2,2662.5,-27.1,-13257.3,-4777.6,2833.0
196.7,14886.1,-23460.8,-27.8,-10696.6,-6787.8,27785.0
549.0,-6753.1,-10419.2,3.4,-10696.4,6929.0,12428.0
-23.7,-532.5,-937.1,17.1,-11286.9,6362.3,1078.0
-674.0,10.1,-39.6,4.3,-14242.0,-3098.8,675.0
-1192.4,15153.7,91.0,-325.6,-2.5,-3838.2,15200.0
940.4,3861.6,-11706.8,-43.5,-13545.8,-4469.3,12363.0
-279.8,-26786.5,22806.9,30.2,-6328.0,-7431.5,35181.0
448.6,-30301.3,17682.9,33.5,-3829.9,-6564.3,35086.0
-318.2,17084.2,-6445.9,-44.4,-1865.3,-4941.1,18262.0
9.1,17955.9,-22872.6,-42.1,-9261.0,-7270.4,29078.0
-27.6,-2179.0,-10594.1,51.2,-14463.5,2972.6,10815.0
-27.8,-22197.9,14382.9,38.1,-4433.5,-6842.9,26450.0
201.9,2931.3,12702.6,11.4,-14212.4,3277.8,13037.0
-103.2,-15412.1,-4503.1,-20.3,-1198.9,4104.7,16056.0
-39.3,3651.4,-2466.0,-32.6,-4637.5,-6870.3,4406.0
